session,amplitude,presence,response_presence,reaction_time
1,2.0333,1,0,0.3741
1,2.0333,1,1,0.2559
1,2.0333,1,0,0.4082
1,2.0333,1,1,0.2241
1,2.0333,0,0,0.2659
1,2.0333,0,0,0.2802
1,2.0333,1,1,0.3155
1,2.0333,1,1,0.3459
1,2.0333,0,0,0.3276
1,2.0333,1,1,0.3759
1,2.0333,0,0,0.5635
1,2.0333,1,1,0.3597
2,2.0333,0,0,0.1619
2,2.0333,1,1,0.242
2,2.0333,0,0,0.2878
2,2.0333,0,0,0.3158
2,2.0333,0,0,0.2278
2,2.0333,0,0,0.1859
2,2.0333,1,1,0.1839
2,2.0333,1,1,0.2159
2,2.0333,1,0,0.4058
2,2.0333,0,0,0.2419
2,2.0333,1,1,0.2159
2,2.0333,1,1,0.3097
2,2.0333,0,0,0.2339
2,2.0333,0,0,0.1499
2,2.0333,0,0,0.1438
2,2.0333,1,1,0.2879
2,2.0333,0,0,0.2298
2,2.0333,0,0,0.2038
2,2.0333,1,1,0.2359
2,2.0333,1,1,0.2901
1,1.7889,0,0,0.2424
1,1.7889,1,0,0.1375
1,1.7889,0,0,0.2698
1,1.7889,0,0,0.2784
1,1.7889,0,0,0.1977
1,1.7889,1,1,0.4877
1,1.7889,1,0,0.1822
1,1.7889,0,0,0.1757
1,1.7889,1,1,0.3239
1,1.7889,1,1,0.4294
1,1.7889,0,0,0.2356
1,1.7889,0,0,0.2873
1,1.7889,0,1,0.36
1,1.7889,0,0,0.3302
1,1.7889,0,0,0.3719
1,1.7889,0,0,0.3562
1,1.7889,1,1,0.3878
1,1.7889,0,0,0.2614
1,1.7889,0,0,0.366
1,1.7889,0,0,0.4498
2,1.7889,1,1,0.3199
2,1.7889,1,1,0.2339
2,1.7889,0,0,0.4563
2,1.7889,1,1,0.1499
2,1.7889,1,0,0.3918
2,1.7889,1,1,0.2478
2,1.7889,1,1,0.2579
2,1.7889,1,1,0.1879
2,1.7889,0,0,0.5096
2,1.7889,0,0,0.3777
2,1.7889,0,0,0.2179
2,1.7889,1,1,0.1339
2,1.7889,0,0,0.3438
2,1.7889,1,1,0.202
2,1.7889,1,1,0.2239
2,1.7889,0,0,0.1858
2,1.7889,0,0,0.2339
2,1.7889,1,1,0.25
2,1.7889,1,1,0.314
2,1.7889,0,0,0.2279
1,1.5444,1,1,0.2874
1,1.5444,1,0,0.1972
1,1.5444,0,0,0.2817
1,1.5444,1,0,0.2501
1,1.5444,1,1,0.2774
1,1.5444,0,0,0.3415
1,1.5444,0,0,0.4177
1,1.5444,1,1,0.3358
1,1.5444,0,0,0.2151
1,1.5444,1,1,0.1633
1,1.5444,1,1,0.2595
1,1.5444,1,1,0.1715
1,1.5444,1,1,0.2074
1,1.5444,1,0,0.1872
1,1.5444,1,1,0.1674
1,1.5444,0,0,0.3079
1,1.5444,0,0,0.244
1,1.5444,0,0,0.3733
1,1.5444,1,1,0.3072
1,1.5444,0,1,0.443
2,1.5444,1,1,0.2681
2,1.5444,1,1,0.1739
2,1.5444,1,1,0.1936
2,1.5444,0,0,0.2198
2,1.5444,1,0,0.512
2,1.5444,1,0,0.6736
2,1.5444,0,0,0.3498
2,1.5444,0,0,0.2478
2,1.5444,1,1,0.1643
2,1.5444,0,0,0.2002
2,1.5444,0,0,0.1679
2,1.5444,0,0,0.1939
2,1.5444,1,1,0.2915
2,1.5444,1,1,0.192
2,1.5444,1,0,0.2
2,1.5444,1,1,0.3998
2,1.5444,1,0,0.2139
2,1.5444,0,0,0.3157
2,1.5444,0,0,0.3736
2,1.5444,0,0,0.2305
1,1.3,1,1,0.1774
1,1.3,0,0,0.2639
1,1.3,1,1,0.3113
1,1.3,0,0,0.2759
1,1.3,1,0,0.1794
1,1.3,1,0,0.5399
1,1.3,0,1,0.2797
1,1.3,1,1,0.2001
1,1.3,1,0,0.4335
1,1.3,0,0,0.48
1,1.3,1,1,0.2493
1,1.3,1,1,0.2555
1,1.3,0,0,0.2859
1,1.3,0,0,0.262
1,1.3,1,1,0.4073
1,1.3,1,1,0.4137
1,1.3,0,0,0.2555
1,1.3,1,1,0.385
1,1.3,0,0,0.26
1,1.3,0,0,0.2577
2,1.3,0,0,0.1939
2,1.3,1,1,0.1779
2,1.3,0,0,0.1679
2,1.3,0,0,0.1599
2,1.3,1,1,0.2179
2,1.3,0,0,0.2079
2,1.3,0,0,0.1419
2,1.3,1,1,0.3858
2,1.3,0,0,0.3379
2,1.3,0,0,0.186
2,1.3,0,0,0.1598
2,1.3,0,0,0.2737
2,1.3,1,1,0.2617
2,1.3,1,0,0.2119
2,1.3,0,0,0.1559
2,1.3,1,0,0.118
2,1.3,0,0,0.1839
2,1.3,0,0,0.1119
2,1.3,0,0,0.11
2,1.3,1,1,0.1898
3,3.0,1,1,0.351
3,3.0,0,0,0.2663
3,3.0,0,0,0.27
3,3.0,1,1,0.2499
3,3.0,0,0,0.27
3,3.0,1,1,0.2499
3,3.0,0,0,0.2559
