session,detection_focus,location,response_location,reaction_time
1,3,0,0,0.2785
1,3,0,0,0.2181
1,3,3,3,0.4798
1,3,3,0,0.2639
1,3,0,0,0.264
1,3,3,0,0.3819
1,3,3,0,0.4039
1,3,0,0,0.3698
1,3,3,0,0.2958
1,3,0,3,0.3856
1,3,0,0,0.2539
1,3,0,0,0.1919
1,3,3,0,0.2057
1,3,0,0,0.3556
1,3,3,0,0.334
1,3,3,3,0.1984
1,3,3,0,0.2256
1,3,0,0,0.192
1,3,0,0,0.3097
1,3,0,0,0.206
2,3,0,0,0.2797
2,3,0,0,0.2818
2,3,3,3,0.22
2,3,0,0,0.2401
2,3,3,3,0.2924
2,3,0,0,0.2399
2,3,0,0,0.1899
2,3,3,3,0.3199
2,3,0,0,0.3401
2,3,0,0,0.518
2,3,0,0,0.3598
2,3,0,0,0.1899
2,3,3,3,0.3076
2,3,0,0,0.5576
2,3,0,0,0.2124
2,3,0,0,0.234
2,3,0,0,0.3101
2,3,0,0,0.4098
2,3,0,0,0.4397
2,3,0,3,0.3418
3,3,3,3,0.3296
3,3,0,0,0.1438
3,3,0,3,0.3577
3,3,0,0,0.376
3,3,3,0,0.4112
3,3,3,3,0.2535
3,3,0,0,0.2276
3,3,0,0,0.2578
3,3,3,0,0.2963
3,3,0,0,0.268
3,3,3,3,0.3561
3,3,3,0,0.2596
3,3,0,0,0.2096
3,3,3,0,0.6272
3,3,0,3,0.3882
3,3,3,3,0.2776
3,3,3,3,0.3342
3,3,0,0,0.2862
3,3,3,3,0.3716
3,3,0,0,0.2402
4,3,0,0,0.1961
4,3,3,0,0.172
4,3,3,3,0.2635
4,3,0,0,0.2757
4,3,3,0,0.2642
4,3,3,3,0.1859
4,3,0,0,0.2874
4,3,3,3,0.1956
4,3,0,0,0.1865
4,3,3,3,0.268
4,3,0,0,0.4654
4,3,3,3,0.2879
4,3,0,0,0.3178
4,3,3,3,0.3143
4,3,3,0,0.2202
4,3,3,3,0.4364
4,3,3,3,0.2844
4,3,0,0,0.1761
4,3,3,0,0.2496
4,3,3,3,0.3261
1,4,0,0,0.2278
1,4,0,0,0.214
1,4,0,0,0.2359
1,4,0,0,0.2099
1,4,0,0,0.24
1,4,0,0,0.5642
1,4,4,4,0.3316
1,4,0,0,0.2996
1,4,4,4,0.2781
1,4,0,0,0.224
1,4,4,0,0.2062
1,4,0,4,0.5297
1,4,0,0,0.2183
1,4,4,4,0.5376
1,4,4,4,0.4338
1,4,0,0,0.2199
1,4,0,0,0.2719
1,4,0,0,0.2357
1,4,0,0,0.264
1,4,4,4,0.314
2,4,0,0,0.2088
2,4,0,0,0.2777
2,4,0,0,0.2561
2,4,0,0,0.2379
2,4,0,0,0.428
2,4,0,0,0.2398
2,4,0,0,0.212
2,4,0,0,0.2338
2,4,0,0,0.2778
2,4,0,0,0.1759
2,4,0,0,0.2719
2,4,4,4,0.394
2,4,0,0,0.2316
2,4,4,4,0.3238
2,4,4,4,0.286
2,4,4,0,0.2106
2,4,0,0,0.2241
2,4,4,4,0.3418
2,4,4,4,0.3577
2,4,4,4,0.404
3,4,4,0,0.2419
3,4,4,0,0.2576
3,4,4,4,0.1779
3,4,0,0,0.2132
3,4,4,4,0.4333
3,4,4,0,0.194
3,4,4,4,0.2453
3,4,0,0,0.3818
3,4,4,4,0.3192
3,4,0,0,0.2138
3,4,4,4,0.3375
3,4,0,0,0.3102
3,4,4,0,0.3034
3,4,4,0,0.2941
3,4,4,4,0.1237
3,4,0,0,0.2656
3,4,4,4,0.2418
3,4,4,0,0.2518
3,4,0,0,0.3256
3,4,4,4,0.4874
4,4,4,4,0.3259
4,4,4,0,0.3998
4,4,4,0,0.3684
4,4,4,4,0.2918
4,4,4,0,0.2938
4,4,4,0,0.3146
4,4,4,4,0.152
4,4,4,0,0.222
4,4,0,4,0.4719
4,4,4,4,0.2603
4,4,0,4,0.5535
4,4,0,4,0.686
4,4,0,0,0.2519
4,4,4,4,0.3437
4,4,0,0,0.5055
4,4,0,4,0.3595
4,4,4,4,0.234
4,4,0,0,0.2157
4,4,0,4,0.4057
4,4,0,0,0.2475
1,5,0,0,0.2787
1,5,0,0,0.2958
1,5,5,0,0.3363
1,5,5,5,0.2318
1,5,5,5,0.2881
1,5,0,0,0.2699
1,5,0,0,0.3122
1,5,0,0,0.214
1,5,0,5,0.5598
1,5,5,0,0.3798
1,5,5,5,0.3848
1,5,0,5,0.2982
1,5,0,0,0.4481
1,5,0,0,0.2739
1,5,5,5,0.4006
1,5,0,5,0.4419
1,5,5,5,0.3425
1,5,5,0,0.2681
1,5,0,0,0.3178
1,5,5,0,0.2902
2,5,0,5,0.6656
2,5,5,0,0.2598
2,5,5,5,0.3598
2,5,5,5,0.264
2,5,5,5,0.4118
2,5,5,5,0.2558
2,5,0,5,0.258
2,5,0,0,0.5397
2,5,0,0,0.4817
2,5,0,0,0.3938
2,5,0,5,0.376
2,5,5,0,0.7195
